Country Name,Region,Continent,Evidence Source,Video URL,Video Title,Year,Verification Status,Confidence Score
Serbia,Europe,Europe,YouTube API,https://youtube.com/watch?v=ser,Exploring Serbia,2022,Verified,A+
Singapore,Asia,Asia,YouTube API,https://youtube.com/watch?v=sin,Exploring Singapore,2023,Verified,A+
Slovakia,Europe,Europe,YouTube API,https://youtube.com/watch?v=slo,Exploring Slovakia,2021,Verified,A+
Slovenia,Europe,Europe,YouTube API,https://youtube.com/watch?v=slo,Exploring Slovenia,2020,Verified,A+
Somalia,Africa,Africa,YouTube API,https://youtube.com/watch?v=som,Mogadishu,2023,Verified,A+
South Africa,Africa,Africa,YouTube API,https://youtube.com/watch?v=sou,Exploring South Africa,2021,Verified,A+
South Korea,Asia,Asia,YouTube API,https://youtube.com/watch?v=sou,Exploring South Korea,2024,Verified,A+
Spain,Europe,Europe,YouTube API,https://youtube.com/watch?v=spa,Madrid & Barcelona,2021,Verified,A+
Sri Lanka,Asia,Asia,YouTube API,https://youtube.com/watch?v=sri,Exploring Sri Lanka,2019,Verified,A+
Suriname,South America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Sweden,Europe,Europe,YouTube API,https://youtube.com/watch?v=swe,Exploring Sweden,2022,Verified,A+
Switzerland,Europe,Europe,YouTube API,https://youtube.com/watch?v=swi,Exploring Switzerland,2024,Verified,A+
Syria,Middle East,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Taiwan,Asia,Asia,YouTube API,https://youtube.com/watch?v=tai,Exploring Taiwan,2023,Verified,A+
Tajikistan,Asia,Asia,YouTube API,https://youtube.com/watch?v=taj,Exploring Tajikistan,2022,Verified,A+
Tanzania,Africa,Africa,YouTube API,https://youtube.com/watch?v=tan,Kilimanjaro Trek,2022,Verified,A+
Thailand,Asia,Asia,YouTube API,https://youtube.com/watch?v=tha,Bangkok Streets,2019,Verified,A+
Tonga,Oceania,Oceania,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Tunisia,Africa,Africa,YouTube API,https://youtube.com/watch?v=tun,Exploring Tunisia,2020,Verified,A+
Turkey,Middle East,Asia,YouTube API,https://youtube.com/watch?v=tur,Istanbul Cats,2021,Verified,A+
Turkmenistan,Asia,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Uganda,Africa,Africa,YouTube API,https://youtube.com/watch?v=uga,Exploring Uganda,2022,Verified,A+
Ukraine,Europe,Europe,YouTube API,https://youtube.com/watch?v=ukr,Exploring Ukraine,2024,Verified,A+
United Arab Emirates,Middle East,Asia,YouTube API,https://youtube.com/watch?v=uni,Exploring United Arab Emirates,2019,Verified,A+
United Kingdom,Europe,Europe,YouTube API,https://youtube.com/watch?v=uk,London Diaries,2020,Verified,A+
United States,North America,Americas,YouTube API,https://youtube.com/watch?v=usa,New York Minute,2022,Verified,A+
Uruguay,South America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Uzbekistan,Asia,Asia,YouTube API,https://youtube.com/watch?v=uzb,Exploring Uzbekistan,2019,Verified,A+
Vanuatu,Oceania,Oceania,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Vatican City,Europe,Europe,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Venezuela,South America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Vietnam,Asia,Asia,YouTube API,https://youtube.com/watch?v=vie,Exploring Vietnam,2023,Verified,A+
Yemen,Middle East,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Zambia,Africa,Africa,YouTube API,https://youtube.com/watch?v=zam,Exploring Zambia,2022,Verified,A+
Zimbabwe,Africa,Africa,YouTube API,https://youtube.com/watch?v=zim,Exploring Zimbabwe,2019,Verified,A+
